,NM_UF_IES_ORIGEM,AN_INICIO,AN_FIM,NM_NIVEL,NM_GRANDE_AREA,NM_PROGRAMA,ID_PROCESSO,NM_IES_ORIGEM_PRINCIPAL_DA,NM_IES_ESTUDO_PRINCIPAL_DA
5416,SANTA CATARINA,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),7988-13-3,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVERSIDADE DO ALGARVE
5417,RIO GRANDE DO SUL,2014,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),7989-13-0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSIDADE DE COIMBRA
5418,RIO GRANDE DO SUL,2014,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),7989-13-0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSIDADE DE COIMBRA
5419,RIO DE JANEIRO,2015,2015,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PGCI - PROGRAMA GERAL DE COOPERAÇÃO INTERNACIONAL,7998-14-7,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSIDADE DE LISBOA
5420,MINAS GERAIS,2013,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),8009-13-9,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UNIVERSITAT DE VALÈNCIA
5421,MINAS GERAIS,2013,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),8009-13-9,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UNIVERSITAT DE VALÈNCIA
5422,MINAS GERAIS,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,STIC AMSUD - COOPERAÇÃO EM CIÊNCIA E TECNOLOGIA DA INFORMAÇÃO E DA COMUNICAÇÃO FRANÇA - AMÉRICA DO SUL - CAPES/CDEFI,8028-14-1,UNIVERSIDADE FEDERAL DE LAVRAS,UNIVERSITÉ LILLE 1 - SCIENCES ET TECHNOLOGIES
5423,RIO DE JANEIRO,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PROGRAMAS ESTRATÉGICOS,8051-14-3,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSIDADE DO PORTO
5424,RIO DE JANEIRO,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8052-14-0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSITÉ PARIS-EST CRÉTEIL VAL-DE-MARNE - PARIS XII
5425,RIO DE JANEIRO,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8052-14-0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSITÉ PARIS-EST CRÉTEIL VAL-DE-MARNE - PARIS XII
5426,MINAS GERAIS,2014,2015,ESTÁGIO PÓS-DOUTORAL,FRANÇA,,8053-14-6,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ÉCOLE SUPÉRIEURE D'INGÉNIEURS EN ÉLECTRONIQUE ET ÉLECTROTECHNIQUE
5427,MINAS GERAIS,2014,2015,ESTÁGIO PÓS-DOUTORAL,FRANÇA,,8053-14-6,UNIVERSIDADE FEDERAL DE MINAS GERAIS,ÉCOLE SUPÉRIEURE D'INGÉNIEURS EN ÉLECTRONIQUE ET ÉLECTROTECHNIQUE
5428,RIO GRANDE DO SUL,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8064-14-8,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,ASSISTANCE PUBLIQUE¿HÔPITAUX DE PARIS
5429,RIO GRANDE DO SUL,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8064-14-8,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,ASSISTANCE PUBLIQUE¿HÔPITAUX DE PARIS
5430,SÃO PAULO,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8067-14-7,UNIVERSIDADE DE SÃO PAULO,UNIVERSITÉ GRENOBLE ALPES
5431,,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8069-14-0,PREFEITURA MUNICIPAL DO RIO DE JANEIRO,UNIVERSITÉ PARIS NORD - PARIS XIII
5432,,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8069-14-0,PREFEITURA MUNICIPAL DO RIO DE JANEIRO,UNIVERSITÉ PARIS NORD - PARIS XIII
5433,SÃO PAULO,2013,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),8084-13-0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,INSTITUTO NACIONAL DE INVESTIGAÇÃO AGRÁRIA E VETERINÁRIA
5434,SÃO PAULO,2013,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),8084-13-0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,INSTITUTO NACIONAL DE INVESTIGAÇÃO AGRÁRIA E VETERINÁRIA
5435,MINAS GERAIS,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),8085-13-7,UNIVERSIDADE VALE DO RIO DOCE,UNIVERSIDADE DE LISBOA
5436,MINAS GERAIS,2013,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),8085-13-7,UNIVERSIDADE VALE DO RIO DOCE,UNIVERSIDADE DE LISBOA
5437,SÃO PAULO,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,CAPES/NUFFIC,8091-14-5,UNIVERSIDADE DE SÃO PAULO,NEDERLANDS INSTITUUT VOOR ECOLOGIE
5438,SÃO PAULO,2014,2015,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,CAPES/NUFFIC,8091-14-5,UNIVERSIDADE DE SÃO PAULO,NEDERLANDS INSTITUUT VOOR ECOLOGIE
5439,SANTA CATARINA,2013,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,BRAGECRIM - INICIATIVA BRASIL-ALEMANHA PARA PESQUISA COLABORATIVA EM TECNOLOGIA DE MANUFATURA - CAPES/CNPQ/FINEP/DFG,8098-13-1,UNIVERSIDADE FEDERAL DE SANTA CATARINA,TECHNISCHE UNIVERSITÄT KAISERSLAUTERN
5440,SANTA CATARINA,2013,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,BRAGECRIM - INICIATIVA BRASIL-ALEMANHA PARA PESQUISA COLABORATIVA EM TECNOLOGIA DE MANUFATURA - CAPES/CNPQ/FINEP/DFG,8098-13-1,UNIVERSIDADE FEDERAL DE SANTA CATARINA,TECHNISCHE UNIVERSITÄT KAISERSLAUTERN
5441,SÃO PAULO,2014,2015,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),8123-14-4,UNIVERSIDADE DE SÃO PAULO,LABORATÓRIO NACIONAL DE ENERGIA E GEOLOGIA
5442,SÃO PAULO,2014,2015,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),8123-14-4,UNIVERSIDADE DE SÃO PAULO,LABORATÓRIO NACIONAL DE ENERGIA E GEOLOGIA
5443,RIO DE JANEIRO,2014,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,CAPES/MINCYT (MINISTÉRIO DE CIÊNCIA,8151-14-8,UNIVERSIDADE FEDERAL FLUMINENSE,UNIVERSIDAD NACIONAL DE RÍO CUARTO
5444,SÃO PAULO,2014,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8162-14-0,UNIVERSIDADE ESTADUAL DE CAMPINAS,AIX MARSEILLE UNIVERSITÉ
5445,SÃO PAULO,2014,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),8162-14-0,UNIVERSIDADE ESTADUAL DE CAMPINAS,AIX MARSEILLE UNIVERSITÉ
