,NM_UF_IES_ORIGEM,AN_INICIO,AN_FIM,NM_NIVEL,NM_GRANDE_AREA,NM_PROGRAMA,ID_PROCESSO,NM_IES_ORIGEM_PRINCIPAL_DA,NM_IES_ESTUDO_PRINCIPAL_DA
0,SÃO PAULO,2010,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,MECD ESPANHA,0963-10-0,UNIVERSIDADE DE SÃO PAULO,UNIVERSIDAD DE ALICANTE
1,MINAS GERAIS,2010,2011,PÓS-DOUTORADO,,MES CUBA DOCENTE - CAPES/MES CUBA,823737,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSIDADE FEDERAL DE MINAS GERAIS
2,AMAZONAS,2010,2011,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5246-09-1,UNIVERSIDADE FEDERAL DO AMAZONAS,CORNELL UNIVERSITY
3,PARANÁ,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2767-12-0,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,CALIFORNIA INSTITUTE OF TECHNOLOGY
4,RIO GRANDE DO NORTE,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9117-11-3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UNIVERSITAT DE BARCELONA
5,RIO GRANDE DO NORTE,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9117-11-3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UNIVERSITAT DE BARCELONA
6,SÃO PAULO,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),2143-11-9,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSIDADE DE LISBOA
7,SÃO PAULO,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),2143-11-9,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSIDADE DE LISBOA
8,RIO GRANDE DO NORTE,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,COOPERAÇÃO INTERNACIONAL,1664-10-7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,WAGENINGEN UNIVERSITY
9,MINAS GERAIS,2011,2012,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3550-10-9,UNIVERSIDADE FEDERAL DE OURO PRETO,UNIVERSITÉ LAVAL
10,SÃO PAULO,2011,2012,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),6019-11-0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UNIVERSIDADE DO MINHO
11,SÃO PAULO,2011,2012,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,CAPES/FCT (FUNDAÇÃO PARA A CIÊNCIA E A TECNOLOGIA),6019-11-0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UNIVERSIDADE DO MINHO
12,MINAS GERAIS,2009,2010,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,4190-08-4,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,DANMARKS TEKNISKE UNIVERSITET
13,PARANÁ,2012,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9119-11-6,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
14,PARANÁ,2012,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9119-11-6,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
15,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9553-11-8,UNIVERSIDADE FEDERAL FLUMINENSE,UNIVERSIDAD CARLOS III DE MADRID
16,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9553-11-8,UNIVERSIDADE FEDERAL FLUMINENSE,UNIVERSIDAD CARLOS III DE MADRID
17,SANTA CATARINA,2012,2012,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,7149-11-5,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSITÄT AUGSBURG
18,PARANÁ,2012,2013,PÓS-DOUTORADO,,PVE/CSF - PESQUISADOR VISITANTE ESPECIAL - PROGRAMA CIÊNCIA SEM FRONTEIRAS,1163071,UNIVERSIDADE ESTADUAL DE LONDRINA,UNIVERSIDADE ESTADUAL DE LONDRINA
19,RIO DE JANEIRO,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3737-08-0,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,TEXAS A&M UNIVERSITY - SYSTEM OFFICE
20,RIO DE JANEIRO,2009,2010,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,1715-09-7,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,HAUTE ÉCOLE SPÉCIALISÉE DE SUISSE OCCIDENTALE
21,SANTA CATARINA,2010,2011,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,0917-10-9,UNIVERSIDADE FEDERAL DE SANTA CATARINA,PENNSYLVANIA STATE UNIVERSITY
22,RIO GRANDE DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5279-12-7,UNIVERSIDADE FEDERAL DE PELOTAS,UNIVERSITY OF MICHIGAN
23,RIO GRANDE DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2629-12-7,FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO,UNIVERSITAT POLITECNICA DE CATALUNYA
24,RIO GRANDE DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2629-12-7,FUNDAÇÃO UNIVERSIDADE DE PASSO FUNDO,UNIVERSITAT POLITECNICA DE CATALUNYA
25,PARANÁ,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0622-11-7,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UNIVERSITÉ DE MONTRÉAL
26,PARANÁ,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0622-11-7,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UNIVERSITÉ DE MONTRÉAL
27,SÃO PAULO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),9693-11-4,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO (SEDE),UNIVERSITÉ TOULOUSE I - CAPITOLE
28,SÃO PAULO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),9693-11-4,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO (SEDE),UNIVERSITÉ TOULOUSE I - CAPITOLE
29,PARÁ,2012,2013,PÓS-DOUTORADO,,PVE/CSF - PESQUISADOR VISITANTE ESPECIAL - PROGRAMA CIÊNCIA SEM FRONTEIRAS,1166234,UNIVERSIDADE FEDERAL DO PARÁ,UNIVERSIDADE FEDERAL DO PARÁ
30,SÃO PAULO,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3670-09-0,UNIVERSIDADE DE SÃO PAULO,INSTITUT D'INVESTIGACIONS BIOMÈDIQUES AUGUST PI I SUNYER
31,RIO DE JANEIRO,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES/UT - PROJETOS CONJUNTOS DE PESQUISA,6840-10-8,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,UNIVERSITY OF TEXAS - SYSTEM
32,RIO DE JANEIRO,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,MECD ESPANHA,5185-10-6,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSITAT POLITECNICA DE VALENCIA
33,PARANÁ,2012,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9120-11-4,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
34,PARANÁ,2012,2013,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,9120-11-4,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS
35,RIO GRANDE DO SUL,2010,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/UDELAR - PROJETOS,0979-10-4,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSIDAD DE LA REPÚBLICA URUGUAY
36,RIO GRANDE DO SUL,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,COOPERAÇÃO INTERNACIONAL,7091-10-9,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,HOKKAIDO UNIVERSITY
37,MINAS GERAIS,2009,2010,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,4862-09-0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UNIVERSITÄT DES SAARLANDES
38,GOIÁS,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,INTERCÂMBIO CIENTÍFICO BRASIL-ALEMANHA DE CURTA DURAÇÃO - CAPES/DAAD,0624-11-0,UNIVERSIDADE FEDERAL DE GOIÁS,FREIE UNIVERSITÄT BERLIN
39,SANTA CATARINA,2011,2012,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),2037-11-4,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNIVERSITAT JAUME I
40,SANTA CATARINA,2011,2012,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),2037-11-4,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNIVERSITAT JAUME I
41,SÃO PAULO,2012,2013,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,9121-11-0,UNIVERSIDADE DE SÃO PAULO,UNIVERSITÉ PARIS-SORBONNE - PARIS IV
42,SÃO PAULO,2012,2013,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,9121-11-0,UNIVERSIDADE DE SÃO PAULO,UNIVERSITÉ PARIS-SORBONNE - PARIS IV
43,RIO GRANDE DO SUL,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,CAPES/COFECUB (COMITÊ FRANCÊS DE AVALIAÇÃO DA COOPERAÇÃO UNIVERSITÁRIA COM O BRASIL),3703-09-6,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSITÉ PARIS-SUD - PARIS XI
44,RIO DE JANEIRO,2010,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES-ICCTI,3459-10-1,ASSOCIAÇÃO INSTITUTO NACIONAL DE MATEMÁTICA PURA E APLICADA,UNIVERSIDADE DE LISBOA
45,ALAGOAS,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5072-09-3,UNIVERSIDADE FEDERAL DE ALAGOAS,UNIVERSITAT DE BARCELONA
46,SÃO PAULO,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,MECD ESPANHA,4282-09-4,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIVERSIDAD AUTÓNOMA DE MADRID
47,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,9123-11-3,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSITÉ SORBONNE NOUVELLE - PARIS III
48,RIO DE JANEIRO,2012,2013,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,9123-11-3,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSITÉ SORBONNE NOUVELLE - PARIS III
49,PARANÁ,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,CAPES/FUNDAÇÃO CAROLINA,1074-10-5,UNIVERSIDADE FEDERAL DO PARANÁ,UNIVERSIDAD DE ALICANTE
50,RIO GRANDE DO SUL,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,1808-09-5,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,CENTRE D'ARCHIVES D'ARCHITECTURE DE LA CITÉ
51,SÃO PAULO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3555-11-9,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSITY OF CAMBRIDGE
52,SÃO PAULO,2012,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3555-11-9,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNIVERSITY OF CAMBRIDGE
53,SÃO PAULO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6618-10-3,UNIVERSIDADE DE SÃO PAULO (RIBEIRÃO PRETO),UNIVERSITY OF TORONTO
54,SÃO PAULO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6618-10-3,UNIVERSIDADE DE SÃO PAULO (RIBEIRÃO PRETO),UNIVERSITY OF TORONTO
55,DISTRITO FEDERAL,2012,2012,PÓS-DOUTORADO,,MES CUBA PROJETOS - CAPES/MES CUBA,1154632,UNIVERSIDADE DE BRASÍLIA,UNIVERSIDADE DE BRASÍLIA
56,AMAZONAS,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0011-09-6,UNIVERSIDADE FEDERAL DO AMAZONAS,THE UNIVERSITY OF EDINBURGH
57,RIO DE JANEIRO,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0936-09-0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,QUEEN'S UNIVERSITY
58,SÃO PAULO,2012,2014,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3148-12-2,UNIVERSIDADE DE SÃO PAULO,UNIVERSITY OF TEXAS - SYSTEM
59,PERNAMBUCO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6165-10-9,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDAD DE SEVILLA
60,PERNAMBUCO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6165-10-9,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UNIVERSIDAD DE SEVILLA
61,SANTA CATARINA,2009,2010,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,3625-08-7,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UNIVERSIDAD COMPLUTENSE DE MADRID
62,PARANÁ,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3803-11-2,UNIVERSIDADE FEDERAL DO PARANÁ,UNIVERSIDAD DE ZARAGOZA
63,PARANÁ,2012,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,3803-11-2,UNIVERSIDADE FEDERAL DO PARANÁ,UNIVERSIDAD DE ZARAGOZA
64,RIO GRANDE DO NORTE,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,CAPES-ICCTI,1887-09-2,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UNIVERSIDADE DE COIMBRA
65,MINAS GERAIS,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),5653-11-8,UNIVERSIDADE FEDERAL DE ALFENAS,UNIVERSITAT DE VALÈNCIA
66,MINAS GERAIS,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,CAPES/DGPU (DIREÇÃO GERAL DE POLÍTICA UNIVERSITÁRIA),5653-11-8,UNIVERSIDADE FEDERAL DE ALFENAS,UNIVERSITAT DE VALÈNCIA
67,RIO GRANDE DO SUL,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5779-10-3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSITÉ PARIS DIDEROT - PARIS VII
68,RIO GRANDE DO SUL,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5779-10-3,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSITÉ PARIS DIDEROT - PARIS VII
69, SÃO JOSÉ DO RIO PRETO,2010,2011,ESTÁGIO PÓS-DOUTORAL,ESTADOS UNIDOS,,0919-10-1,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNIVERSITY OF OREGON
70,DISTRITO FEDERAL,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0859-09-5,UNIVERSIDADE DE BRASÍLIA,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO
71,RIO GRANDE DO SUL,2011,2011,PÓS-DOUTORADO,ENGENHARIAS,MES CUBA PROJETOS - CAPES/MES CUBA,962735,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL
72,RIO DE JANEIRO,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0129-11-9,UNIVERSIDADE FEDERAL FLUMINENSE,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE
73,TOCANTINS,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS AGRÁRIAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2181-09-6,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,UNIVERSITY OF WISCONSIN - SYSTEM
74,SÃO PAULO,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PROBRAL - PROJETOS DE COOPERAÇÃO EM PESQUISA ENTRE O BRASIL E A ALEMANHA - CAPES/DAAD,4169-08-5,UNIVERSIDADE FEDERAL DE SÃO PAULO,HELMHOLTZ-ZENTRUM GEESTHACHT
75, SÃO JOSÉ DOS CAMPOS,2012,2013,ESTÁGIO PÓS-DOUTORAL,ESTADOS UNIDOS,,3859-11-8,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNIVERSITY OF INDIANAPOLIS
76,SÃO PAULO,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,4056-09-4,UNIVERSIDADE FEDERAL DE SÃO PAULO,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES
77,RIO DE JANEIRO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,MECD ESPANHA,6797-10-5,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UNIVERSITAT POLITÈCNICA DE VALÈNCIA
78,SÃO PAULO,2010,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,MECD ESPANHA,0959-10-3,UNIVERSIDADE DE SÃO PAULO,UNIVERSIDAD DE ALICANTE
79,PARÁ,2012,2012,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,INTERCÂMBIO CIENTÍFICO BRASIL-ALEMANHA DE CURTA DURAÇÃO - CAPES/DAAD,6133-11-8,UNIVERSIDADE FEDERAL DO PARÁ,UNIVERSITÄT LEIPZIG
80,SÃO PAULO,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,5266-09-2,UNIVERSIDADE ESTADUAL DE CAMPINAS,NEW YORK UNIVERSITY
81,ENGLAND,2012,2019,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,99999.008887/2011-00,UNIVERSITY OF KENT,UNIVERSITY OF ILLINOIS
82,RIO GRANDE DO SUL,2009,2010,ESTÁGIO PÓS-DOUTORAL,MULTIDISCIPLINAR,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0060-09-7,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UNIVERSITAT ROVIRA I VIRGILI
83,MATO GROSSO DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,1298-12-7,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UNIVERSIDAD DE JAÉN
84,MATO GROSSO DO SUL,2012,2013,ESTÁGIO PÓS-DOUTORAL,LINGÜÍSTICA,,1298-12-7,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UNIVERSIDAD DE JAÉN
85,SÃO PAULO,2009,2010,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,1819-09-7,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UNIVERSITY OF MINNESOTA
86,RIO GRANDE DO NORTE,2010,2010,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,CAPES/FUNDAÇÃO CAROLINA,1075-10-1,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE,UNIVERSIDAD POLITÉCNICA DE MADRID
87,SÃO PAULO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS DA SAÚDE,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,0692-11-5,UNIVERSIDADE DE SÃO PAULO,HARVARD UNIVERSITY
88,RIO DE JANEIRO,2011,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,1157-11-6,UNIVERSIDADE FEDERAL FLUMINENSE,YORK UNIVERSITY
89,RIO DE JANEIRO,2011,2013,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS BIOLÓGICAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,1157-11-6,UNIVERSIDADE FEDERAL FLUMINENSE,YORK UNIVERSITY
90,RIO DE JANEIRO,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,6256-10-4,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,DUKE UNIVERSITY
91,PERNAMBUCO,2011,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS SOCIAIS APLICADAS,CAPES/FUNDAÇÃO CAROLINA,3990-10-9,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNIVERSIDAD DE SALAMANCA
92,DISTRITO FEDERAL,2011,2012,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS HUMANAS,PPDE - PROGRAMA DE PÓS-DOUTORADO NO EXTERIOR,2734-10-9,CENTRO UNIVERSITÁRIO EURO-AMERICANO,UNIVERSITÉ DU QUÉBEC
93,ENGLAND,2010,2011,ESTÁGIO PÓS-DOUTORAL,CIÊNCIAS EXATAS E DA TERRA,MECD ESPANHA,3229-10-6,UNIVERSITY OF YORK,UNIVERSITAT POLITECNICA DE VALENCIA
94,RIO DE JANEIRO,2010,2010,ESTÁGIO PÓS-DOUTORAL,ENGENHARIAS,PROFESSOR/PESQUISADOR VISITANTE NOS ESTADOS UNIDOS - CAPES/FULBRIGHT,2984-09-1,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UNIVERSITY OF WYOMING
