,nome_ies_origem_norm,uf_ies_origem,frequencia
935,universita degli studi di perugia,REGIONE UMBRIA,1
936,embrapa recursos geneticos e biotecnologia,DISTRITO FEDERAL,1
937,epilepsihospitalet,REGION SJAELLAND,1
938,cespu instituto superior de ciencias da saude gandra,DISTRITO DO PORTO,1
939,chalmers tekniska hogskola,VAESTRA GOETALANDS LAEN,1
940,city colleges of chicago,ILLINOIS,1
941,city university of new york system,NEW YORK,1
942,coastal carolina university,SOUTH CAROLINA,1
943,colaiste rioga na mainlea in eirinn,LEINSTER,1
944,ecole des hautes etudes commerciales de montreal,QUEBEC,1
945,ecole nationale de l aviation civile,REGION MIDI-PYRENEES,1
946,ecole normale superieure paris,REGION ILE-DE-FRANCE,1
947,ecole superieure d ingenieurs en electronique et electrotechnique,REGION ILE-DE-FRANCE,1
948,eidgenossische technische hochschule zurich,KANTON ZURICH,1
949,el colegio de la frontera sur,ESTADO DE CHIAPAS,1
950,el colegio de mexico,DISTRITO FEDERAL,1
951,embrapa gado de leite,MINAS GERAIS,1
952,curtin university,STATE OF WESTERN AUSTRALIA,1
953,czech technical university,HLAVNI MESTO PRAHA,1
954,deutsches zentrum fur luft und raumfahrt,FREISTAAT BAYERN,1
955,donau universitat krems,NIEDEROESTERREICH,1
956,duke university,NORTH CAROLINA,1
957,eastern illinois university,SOUTH CAROLINA,1
958,eastern west virginia community and technical college,WEST VIRGINIA,1
959,ecole centrale paris,REGION ILE-DE-FRANCE,1
960,universite de lausanne,CANTON DE VAUD,1
961,universite de liege,WALLOON REGION,1
962,universite de limoges,REGION LIMOUSIN,1
963,universite de lorraine,REGION LORRAINE,1
964,universite de lyon,REGION RHONE-ALPES,1
965,universite de moncton,NEW BRUNSWICK,1
966,council of scientific and industrial research north east institute of science and technology,STATE OF ASSAM,1
967,cranfield university,ENGLAND,1
968,universite paris saclay,REGION ILE-DE-FRANCE,1
969,universite paul valery montpellier,REGION LANGUEDOC-ROUSSILLON,1
970,universite rennes ii,REGION BRETAGNE,1
971,universite sorbonne nouvelle paris iii,REGION AQUITAINE,1
972,universite stendhal grenoble iii,REGION RHONE-ALPES,1
973,universite toulouse ii jean jaures,REGION MIDI-PYRENEES,1
974,universiteit antwerpen,FLEMISH REGION,1
975,universiteit maastricht,PROVINCIE LIMBURG,1
976,universite de picardie jules verne,REGION PICARDIE,1
977,universite de technologie de compiegne,REGION PICARDIE,1
978,universite de valenciennes et du hainaut cambresis,REGION NORD-PAS-DE-CALAIS,1
979,universite joseph fourier grenoble i,REGION RHONE-ALPES,1
980,universite lille 2 centre detude des arts contemporains,REGION NORD-PAS-DE-CALAIS,1
981,universite lille 2 droit et sante,REGION NORD-PAS-DE-CALAIS,1
982,universite lille 3 sciences humaines et sociales,REGION NORD-PAS-DE-CALAIS,1
983,universite paris saclay,REGION FRANCHE-COMTE,1
984,consejo nacional de ciencia y tecnologia,ESTADO DE SONORA,1
985,consejo nacional de investigaciones cientificas y tecnicas,PROVINCIA DE SAN JUAN,1
986,consejo superior de investigaciones cientificas,ANDALUCIA,1
987,conservatoire de musique de geneve,CANTON DE GENEVE,1
988,consiglio nazionale delle ricerche,REGIONE TOSCANA,1
989,consiglio per la ricerca e la sperimentazione in agricoltura,REGIONE LAZIO,1
990,cornell college,IOWA,1
991,universite de pau et des pays de l adour,REGION AQUITAINE,1
992,collegeamerica,COLORADO,1
993,commissariat a l energie atomique et aux energies alternatives grenoble,REGION RHONE-ALPES,1
994,commonwealth science and industrial research organization,NORTHERN TERRITORY,1
995,companhia de pesquisa de recursos minerais,DISTRITO FEDERAL,1
996,complexo de ensino superior de santa catarina,SANTA CATARINA,1
997,concordia university,QUEBEC,1
998,consejo nacional de ciencia y tecnologia,ESTADO DE BAJA CALIFORNIA,1
999,consejo nacional de ciencia y tecnologia,ESTADO DE SAN LUIS POTOSI,1
1000,centro universitario luterano de manaus,AMAZONAS,1
1001,centro universitario metodista izabela hendrix,MINAS GERAIS,1
1002,centro universitario moura lacerda,SÃO PAULO,1
1003,centro universitario newton paiva,MINAS GERAIS,1
1004,centro universitario padre anchieta,SÃO PAULO,1
1005,centro universitario ritter dos reis,RIO GRANDE DO SUL,1
1006,centro universitario serra dos orgaos,RIO DE JANEIRO,1
1007,centro universitario sociesc,SANTA CATARINA,1
1008,centro universitario do instituto de educacao superior de brasilia,DISTRITO FEDERAL,1
1009,centro universitario do instituto maua de tecnologia,SÃO PAULO,1
1010,centro universitario do leste de minas gerais,MINAS GERAIS,1
1011,centro universitario fecap,SÃO PAULO,1
1012,centro universitario filadelfia,PARANÁ,1
1013,centro universitario ibmr,RIO DE JANEIRO,1
1014,centro universitario internacional,PARANÁ,1
1015,centro universitario luterano de ji parana,RONDÔNIA,1
1016,university of belgrade,CENTRAL SERBIA,1
1017,university of bucharest,BUCURESTI,1
1018,centro universitario da fundacao herminio ometto,SÃO PAULO,1
1019,centro universitario das faculdades metropolitanas unidas,SÃO PAULO,1
1020,centro universitario de bauru,SÃO PAULO,1
1021,centro universitario de itajuba,MINAS GERAIS,1
1022,centro universitario de maringa,PARANÁ,1
1023,centro universitario do espirito santo,ESPÍRITO SANTO,1
1024,universiteit van tilburg,PROVINCIE NOORD-BRABANT,1
1025,universitetet i oslo,OSLO COUNTY,1
1026,university college dublin,LEINSTER,1
1027,university medical center rotterdam,PROVINCIE ZUID-HOLLAND,1
1028,university of aberdeen,SCOTLAND,1
1029,university of alabama tuscaloosa,ALABAMA,1
1030,university of alaska anchorage,ALASKA,1
1031,university of arizona,ARIZONA,1
1032,university of stirling,SCOTLAND,1
1033,wayne state university,MICHIGAN,1
1034,weizmann institute of science,CENTRAL DISTRICT,1
1035,west virginia university,WEST VIRGINIA,1
1036,westfalische wilhelms universitat munster,FREISTAAT BAYERN,1
1037,aalborg universitet,REGION HOVEDSTADEN,1
1038,yokohama national university,KANAGAWA-KEN,1
1039,university of western sydney,STATE OF NEW SOUTH WALES,1
1040,university of pennsylvania,PENNSYLVANIA,1
1041,university of pittsburgh,PENNSYLVANIA,1
1042,university of rhode island,RHODE ISLAND,1
1043,university of saskatchewan,SASKATCHEWAN,1
1044,university of south africa,GAUTENG,1
1045,university of south florida,FLORIDA,1
1046,university of southampton,ENGLAND,1
1047,university of southern california,CALIFORNIA,1
1048,university of minnesota twin cities campus department of civil environmental and geo engineering,KANSAS,1
1049,university of mississippi oxford,MISSISSIPPI,1
1050,university of missouri columbia,MISSOURI,1
1051,university of new brunswick,NEW BRUNSWICK,1
1052,university of new england portland,MAINE,1
1053,university of new south wales,STATE OF NEW SOUTH WALES,1
1054,university of otago,OTAGO,1
1055,university of oulu,OULUN LAEAENI,1
1056,centro universitario 7 de setembro,CEARÁ,1
1057,centro universitario academia,MINAS GERAIS,1
1058,centro universitario anhanguera,SÃO PAULO,1
1059,centro universitario carioca,RIO DE JANEIRO,1
1060,centro universitario central paulista,SÃO PAULO,1
1061,centro universitario claretiano,SÃO PAULO,1
1062,centro universitario curitiba,PARANÁ,1
1063,university of maryland system,MARYLAND,1
1064,tulane university,LOUISIANA,1
1065,turun yliopisto,PROVINCE OF WESTERN FINLAND,1
1066,tuskegee university,ALABAMA,1
1067,umea universitet,VAESTERBOTTENS LAEN,1
1068,uniao metropolitana para o desenvolvimento da educacao e cultura ltda,BAHIA,1
1069,unite mixte de physique cnrs thales,REGION ILE-DE-FRANCE,1
1070,united states department of agriculture,DISTRICT OF COLUMBIA,1
1071,universidad autonoma de asuncion,ASUNCION,1
1072,the ohio state university,OHIO,1
1073,the smith kettlewell eye research institute,CALIFORNIA,1
