,nome_ies_destino_norm,pais_ies_destino,frequencia
610,heinrich heine universitat dusseldorf,ALEMANHA,10
611,cranfield university,REINO UNIDO,10
612,crown research institutes,NOVA ZELÂNDIA,10
613,national research council canada,CANADÁ,10
614,university of missouri saint louis,ESTADOS UNIDOS,10
615,universitat innsbruck,ÁUSTRIA,10
616,universitat siegen,ALEMANHA,10
617,fondazione edmund mach di san michele all adige,ITÁLIA,10
618,instituto de salud carlos iii,ESPANHA,10
619,royal botanic garden edinburgh,REINO UNIDO,10
620,universitat basel,SUÍÇA,10
621,technische universitat bergakademie freiberg,ALEMANHA,10
622,universita cattolica del sacro cuore,ITÁLIA,10
623,scotland s rural college,REINO UNIDO,10
624,universitat augsburg,ALEMANHA,10
625,universidad nacional de san juan,ARGENTINA,10
626,iowa state university ames,ESTADOS UNIDOS,10
627,universidade federal do espirito santo,BRASIL,10
628,universitetet i bergen,NORUEGA,10
629,colaiste rioga na mainlea in eirinn,IRLANDA,10
630,charite universitatsmedizin berlin,ALEMANHA,10
631,universite d orleans,FRANÇA,10
632,universita degli studi di siena,ITÁLIA,10
633,universidad de santiago de chile,CHILE,10
634,dartmouth college,ESTADOS UNIDOS,10
635,california academy of sciences,ESTADOS UNIDOS,10
636,california state university system,ESTADOS UNIDOS,10
637,college de france,FRANÇA,9
638,integrated ocean drilling program united states,ESTADOS UNIDOS,9
639,universitat greifswald,ALEMANHA,9
640,goddard space flight center nasa greenbelt,ESTADOS UNIDOS,9
641,institut francais des sciences et technologies des transports de l amenagement et des reseaux,FRANÇA,9
642,heriot watt university,REINO UNIDO,9
643,universite de perpignan via domitia,FRANÇA,9
644,the university of kansas medical center kansas,ESTADOS UNIDOS,9
645,instituto nacional de investigacao agraria e veterinaria,PORTUGAL,9
646,assistance publiquehopitaux de paris,FRANÇA,9
647,university of windsor,CANADÁ,9
648,victoria university,AUSTRÁLIA,9
649,florida institute of technology,ESTADOS UNIDOS,9
650,fundacao getulio vargas rj,BRASIL,9
651,europa universitat viadrina frankfurt oder,ALEMANHA,9
652,albert einstein college of medicine ue,ESTADOS UNIDOS,9
653,universiteit van tilburg,HOLANDA,9
654,universite savoie mont blanc,FRANÇA,9
655,universidade federal do oeste do para,BRASIL,9
656,universidade do extremo sul catarinense,BRASIL,9
657,agrocampus ouest,FRANÇA,9
658,observatoire de paris,FRANÇA,9
659,interuniversitair micro electronica centrum,BÉLGICA,9
660,iscte instituto universitario de lisboa,PORTUGAL,9
661,universite de toulon,FRANÇA,9
662,institutes of technology ireland,IRLANDA,9
663,universite de technologie de compiegne,FRANÇA,9
664,instituto politecnico nacional,MÉXICO,9
665,universite de bretagne occidentale,FRANÇA,9
666,universidade do algarve gambelas faro,PORTUGAL,9
667,flinders university,AUSTRÁLIA,9
668,universidade federal do estado do rio de janeiro,BRASIL,9
669,universidade estadual do norte fluminense darcy ribeiro,BRASIL,9
670,universidade federal de alfenas,BRASIL,9
671,senckenberg gesellschaft fur naturforschung,ALEMANHA,9
672,universita degli studi di camerino,ITÁLIA,9
673,universitat der kunste berlin,ALEMANHA,9
674,universita della calabria,ITÁLIA,9
675,sveriges lantbruksuniversitet,SUÉCIA,9
676,sorbonne universite,FRANÇA,9
677,saint louis university,ESTADOS UNIDOS,9
678,technische universitat chemnitz,ALEMANHA,9
679,university of mississippi medical center jackson,ESTADOS UNIDOS,9
680,university of oregon,ESTADOS UNIDOS,9
681,institut gustave roussy,FRANÇA,9
682,universidade nova de lisboa instituto de higiene e medicina tropical lisboa,PORTUGAL,9
683,university of houston,ESTADOS UNIDOS,9
684,universita degli studi di messina,ITÁLIA,8
685,northern arizona university flagstaff,ESTADOS UNIDOS,8
686,universidade federal de itajuba,BRASIL,8
687,field museum of natural history,ESTADOS UNIDOS,8
688,faculdade de ciencias sociais e humanas,PORTUGAL,8
689,instituto de ciencia animal,CUBA,8
690,universite de fribourg,SUÍÇA,8
691,liverpool school of tropical medicine,REINO UNIDO,8
692,centro nacional de sanidad agropecuaria,CUBA,8
693,chinese academy of sciences,CHINA,8
694,illinois institute of technology,ESTADOS UNIDOS,8
695,the university of northampton,REINO UNIDO,8
696,universitat osnabruck,ALEMANHA,8
697,brigham young university,ESTADOS UNIDOS,8
698,universidad de burgos,ESPANHA,8
699,bauhaus universitat weimar,ALEMANHA,8
700,university of waikato,NOVA ZELÂNDIA,8
701,mayo clinic,ESTADOS UNIDOS,8
702,icahn school of medicine at mount sinai,ESTADOS UNIDOS,8
703,trent university,CANADÁ,8
704,united nations educational scientific and cultural organization,HOLANDA,8
705,karl franzens universitat graz,ÁUSTRIA,8
706,argonne national laboratory,ESTADOS UNIDOS,8
707,university of alabama tuscaloosa,ESTADOS UNIDOS,8
708,university of california hastings college of the law san francisco,ESTADOS UNIDOS,8
709,southern cross university,AUSTRÁLIA,8
710,the james hutton institute,REINO UNIDO,8
711,bournemouth university,REINO UNIDO,8
712,university of oxford latin american centre oxford,REINO UNIDO,8
713,universidad pedagogica nacional de colombia,COLÔMBIA,8
714,universidad de huelva,ESPANHA,8
715,california institute of technology,ESTADOS UNIDOS,8
716,brandenburgische technische universitat cottbus senftenberg,ALEMANHA,8
717,university of ontario institute of technology,CANADÁ,8
718,technische universitat wien,ÁUSTRIA,8
719,university of louisville,ESTADOS UNIDOS,8
720,universita degli studi di verona,ITÁLIA,8
721,synchrotron soleil,FRANÇA,8
722,institut de recherche pour le developpement marseille,FRANÇA,8
723,consiglio per la ricerca e la sperimentazione in agricoltura,ITÁLIA,7
724,national institute of allergy and infectious diseases,ESTADOS UNIDOS,7
725,miami university,ESTADOS UNIDOS,7
726,university of the west of england,REINO UNIDO,7
727,university of pretoria,ÁFRICA DO SUL,7
728,medizinische universitat wien,ÁUSTRIA,7
729,university of wyoming,ESTADOS UNIDOS,7
730,the university of tokyo,JAPÃO,7
731,wirtschaftsuniversitat wien,ÁUSTRIA,7
732,uniformed services university,ESTADOS UNIDOS,7
733,moredun research institut,REINO UNIDO,7
734,national health service management office,REINO UNIDO,7
735,istituto universitario europeo,ITÁLIA,7
736,m d anderson cancer center,ESTADOS UNIDOS,7
737,naturalis biodiversity center,HOLANDA,7
738,instituto nacional de pesquisas espaciais,BRASIL,7
739,akademie ved ceske republiky,REPÚBLICA TCHECA,7
740,university of lincoln,REINO UNIDO,7
741,university of iowa carver college of medicine,ESTADOS UNIDOS,7
742,universidad nacional de general sarmiento,ARGENTINA,7
743,brock university,CANADÁ,7
744,universidad de los andes,COLÔMBIA,7
745,scuola superiore sant anna,ITÁLIA,7
746,institut d investigacions biomediques august pi i sunyer,ESPANHA,7
747,smithsonian conservation biology institute ue,ESTADOS UNIDOS,7
748,scuola normale superiore,ITÁLIA,7
749,deutsches krebsforschungszentrum,ALEMANHA,7
750,tampereen yliopisto,FINLÂNDIA,7
751,institut de recherche pour le developpement bondy,FRANÇA,7
752,institut de science des materiaux de mulhouse,FRANÇA,7
753,universidad de jaen,ESPANHA,7
754,copenhagen business school,DINAMARCA,7
755,universitat oberta de catalunya,ESPANHA,7
756,universita della svizzera italiana,SUÍÇA,7
757,cedars sinai medical center,ESTADOS UNIDOS,7
758,universidade de lurio,MOÇAMBIQUE,7
759,universidade catolica de brasilia,BRASIL,7
760,universidade agostinho neto,ANGOLA,7
761,universidade estadual de feira de santana,BRASIL,7
762,universidade estadual de ponta grossa,BRASIL,7
763,universidade federal de campina grande,BRASIL,7
764,universidade federal de alagoas,BRASIL,7
765,universita degli studi di sassari,ITÁLIA,7
766,universidade federal do amazonas,BRASIL,7
767,centro de investigacion y tecnologia agroalimentaria de aragon,ESPANHA,7
768,lakehead university,CANADÁ,7
769,universite du luxembourg,LUXEMBURGO,7
770,old dominion university,ESTADOS UNIDOS,7
771,penn state university,ESTADOS UNIDOS,7
772,pontificia universidade catolica de minas gerais,BRASIL,7
773,pontificia universidad catolica del peru,PERU,7
774,oregon university system,ESTADOS UNIDOS,7
775,jawaharlal nehru university,ÍNDIA,7
776,worcester polytechnic institute,ESTADOS UNIDOS,7
777,university of new brunswick,CANADÁ,6
778,university of rhode island,ESTADOS UNIDOS,6
779,the hebrew university of jerusalem,ISRAEL,6
780,bernhard nocht institut fur tropenmedizin,ALEMANHA,6
781,bergische universitat wuppertal,ALEMANHA,6
782,texas a m international university,ESTADOS UNIDOS,6
783,university of stirling,REINO UNIDO,6
784,universidad de deusto,ESPANHA,6
785,hochschule fur grafik und buchkunst leipzig,ALEMANHA,6
786,universidad autonoma del estado de mexico,MÉXICO,6
787,universita politecnica delle marche,ITÁLIA,6
788,universitair medisch centrum groningen,HOLANDA,6
789,universitat trier,ALEMANHA,6
790,nova southeastern university,ESTADOS UNIDOS,6
791,washington and lee university,ESTADOS UNIDOS,6
792,universitat koblenz landau,ALEMANHA,6
793,middlesex university london,REINO UNIDO,6
794,technische universitat ilmenau,ALEMANHA,6
795,the university of maine,ESTADOS UNIDOS,6
796,san francisco state university,ESTADOS UNIDOS,6
797,universidad nacional de lanus,ARGENTINA,6
798,la trobe university,AUSTRÁLIA,6
799,the university of hong kong,CHINA,6
800,institut de hautes etudes internationales et du developpement,SUÍÇA,6
801,universitat paderborn,ALEMANHA,6
802,university of missouri kansas city,ESTADOS UNIDOS,6
803,chalmers tekniska hogskola,SUÉCIA,6
804,memorial sloan kettering cancer center,ESTADOS UNIDOS,6
805,pontificia universidade catolica de sao paulo,BRASIL,6
806,malmo hogskola,SUÉCIA,6
807,stellenbosch university,ÁFRICA DO SUL,6
808,fermilab fermi national accelerator laboratory,ESTADOS UNIDOS,6
809,salk institute for biological studies,ESTADOS UNIDOS,6
810,otto von guericke universitat magdeburg,ALEMANHA,6
811,ecole superieure d electricite,FRANÇA,6
812,ecole centrale paris,FRANÇA,6
813,fox chase cancer center,ESTADOS UNIDOS,6
814,universita degli studi di palermo,ITÁLIA,6
815,universidade do estado do amazonas,BRASIL,6
816,universidade dos acores,PORTUGAL,6
817,university of athens,GRÉCIA,6
818,university of colorado,ESTADOS UNIDOS,6
819,florida atlantic university,ESTADOS UNIDOS,6
820,universidade federal de mato grosso,BRASIL,6
821,universita degli studi di cagliari,ITÁLIA,6
822,carl von ossietzky universitat oldenburg,ALEMANHA,6
823,university of alabama birmingham,ESTADOS UNIDOS,6
824,university of canberra,AUSTRÁLIA,6
825,universite bordeaux iii,FRANÇA,6
826,universite de franche comte,FRANÇA,6
827,national center for atmospheric research,ESTADOS UNIDOS,6
828,universiteit hasselt,BÉLGICA,6
829,universidad de las palmas de gran canaria,ESPANHA,6
830,university of the sunshine coast,AUSTRÁLIA,6
831,john innes centre,REINO UNIDO,6
832,universitatsklinikum heidelberg,ALEMANHA,6
833,consejo superior de investigaciones cientificas centro de ciencias humanas y sociales madrid,ESPANHA,6
834,zoologisches forschungsmuseum alexander koenig,ALEMANHA,5
835,universite d angers,FRANÇA,5
836,universidad catolica de valencia san vicente martir,ESPANHA,5
837,washington university in st louis school of medicine saint louis,ESTADOS UNIDOS,5
838,the hospital for sick children,CANADÁ,5
839,univerzita karlova v praze,REPÚBLICA TCHECA,5
840,joslin diabetes center and joslin clinic,ESTADOS UNIDOS,5
841,glasgow caledonian university,REINO UNIDO,5
842,universidad nacional de lujan,ARGENTINA,5
843,university of kwazulu natal,ÁFRICA DO SUL,5
844,universidad pontificia comillas,ESPANHA,5
845,fundacao vale do taquari de educacao e desenvolvimento social fuvates,BRASIL,5
846,universidad michoacana de san nicolas de hidalgo,MÉXICO,5
847,london south bank university,REINO UNIDO,5
848,baylor college of medicine,ESTADOS UNIDOS,5
849,university of montana missoula,ESTADOS UNIDOS,5
850,universidad de la frontera,CHILE,5
851,universitat flensburg,ALEMANHA,5
852,pace university,ESTADOS UNIDOS,5
853,observatorio nacional,BRASIL,5
854,oe gaillimh maynooth,IRLANDA,5
855,masarykova univerzita,REPÚBLICA TCHECA,5
856,paul drude institut fur festkorperelektronik,ALEMANHA,5
857,ecole nationale superieure d architecture de paris la villette,FRANÇA,5
858,east carolina university,ESTADOS UNIDOS,5
859,memorial university of newfoundland,CANADÁ,5
860,stiftung institut fur werkstofftechnik,ALEMANHA,5
861,universidade de coimbra centro de estudos de linguistica geral e aplicada,PORTUGAL,5
862,universidad pedagogica nacional,MÉXICO,5
863,universita degli studi di modena e reggio emilia,ITÁLIA,5
864,universita iuav di venezia,ITÁLIA,5
865,medizinische hochschule hannover,ALEMANHA,5
866,centro brasileiro de pesquisas fisicas,BRASIL,5
867,bremer institut fur produktion und logistik,ALEMANHA,5
868,universidad nacional de tucuman,ARGENTINA,5
869,stiftung tierarztliche hochschule hannover,ALEMANHA,5
870,universidad catolica san antonio de murcia,ESPANHA,5
871,universidad de talca,CHILE,5
872,universidad de costa rica,COSTA RICA,5
873,universidad de holguin,CUBA,5
874,technische universitat graz,ÁUSTRIA,5
875,institiuid teicneolaiochta bhaile atha cliath,IRLANDA,5
876,the university of akron,ESTADOS UNIDOS,5
877,universidade federal do reconcavo da bahia,BRASIL,5
878,lincoln university christchurch,NOVA ZELÂNDIA,5
879,university of denver,ESTADOS UNIDOS,5
880,libera universita di bolzano,ITÁLIA,5
881,institut francais de recherche pour l exploitation de la mer,FRANÇA,5
882,institut national de recherche en sciences et technologies pour l environement et l agriculture,FRANÇA,5
883,universitat de vic,ESPANHA,5
884,deutsches zentrum fur luft und raumfahrt,ALEMANHA,5
885,university of hertfordshire,REINO UNIDO,5
886,mount sinai medical center,ESTADOS UNIDOS,5
887,university health network,CANADÁ,5
888,instituto superior de psicologia aplicada,PORTUGAL,5
889,universita degli studi del piemonte orientale amedeo avogadro,ITÁLIA,5
890,centre international de recherche sur le cancer,FRANÇA,5
891,universidade federal do rio grande,BRASIL,5
892,universidade federal de juiz de fora,BRASIL,5
893,leuphana universitat luneburg,ALEMANHA,5
894,universidad veracruzana,MÉXICO,5
895,roskilde universitet,DINAMARCA,5
896,royal college of art,REINO UNIDO,5
897,qimr berghofer medical research institute,AUSTRÁLIA,5
898,universitetet i stavanger,NORUEGA,5
899,universitat mannheim,ALEMANHA,5
900,missouri botanical garden,ESTADOS UNIDOS,5
901,universite d avignon,FRANÇA,5
902,nottingham trent university,REINO UNIDO,5
903,universitat autonoma de barcelona institut catala de nanociencia y nanotecnologia,ESPANHA,5
904,de montfort university,REINO UNIDO,5
905,columbia university teachers college,ESTADOS UNIDOS,5
906,instituto nacional de investigacion y tecnologia agraria y alimentaria,ESPANHA,5
907,universite catholique de lille,FRANÇA,5
908,veterinarmedizinische universitat wien,ÁUSTRIA,5
909,instituto nacional de antropologia e historia,MÉXICO,5
910,national institute of standards and technology,ESTADOS UNIDOS,5
911,universidad autonoma de yucatan,MÉXICO,5
912,u s food and drug administration,ESTADOS UNIDOS,5
913,umea universitet,SUÉCIA,5
914,university of wolverhampton,REINO UNIDO,5
915,wits university,ÁFRICA DO SUL,4
916,united nations university,JAPÃO,4
917,antoni van leeuwenhoek nederlands kanker instituut,HOLANDA,4
918,university of winnipeg,CANADÁ,4
919,universite du littoral cote d opale,FRANÇA,4
920,it universitetet i kbenhavn,DINAMARCA,4
921,university of the pacific,ESTADOS UNIDOS,4
922,bayer group,ESTADOS UNIDOS,4
923,woods hole research center,ESTADOS UNIDOS,4
924,clark university,ESTADOS UNIDOS,4
925,universitatsklinikum jena,ALEMANHA,4
926,universitatsklinikum munster,ALEMANHA,4
927,universitat passau,ALEMANHA,4
928,instituto politecnico de portalegre,PORTUGAL,4
929,instituto nacional de pesquisas da amazonia,BRASIL,4
930,yokohama national university,JAPÃO,4
931,montana state university bozeman,ESTADOS UNIDOS,4
932,missouri university of science and technology,ESTADOS UNIDOS,4
933,universite de neuchatel,SUÍÇA,4
934,universite de lyon,FRANÇA,4
935,universite de mons,BÉLGICA,4
936,commissariat a l energie atomique,FRANÇA,4
937,commissariat a l energie atomique et aux energies alternatives grenoble,FRANÇA,4
938,murdoch university,AUSTRÁLIA,4
939,nsw government nsw department of primary industries,AUSTRÁLIA,4
940,northern illinois university,ESTADOS UNIDOS,4
941,northumbria university newcastle,REINO UNIDO,4
942,norges milj og biovitenskapelige universitet,NORUEGA,4
943,universitat vechta,ALEMANHA,4
944,universita degli studi di urbino,ITÁLIA,4
945,university of greenwich,REINO UNIDO,4
946,universidade onze de novembro,ANGOLA,4
947,universidade presbiteriana mackenzie,BRASIL,4
948,escola superior de enfermagem de lisboa,PORTUGAL,4
949,universidade nova de lisboa faculdade de ciencias e tecnologia caparica,PORTUGAL,4
950,edinburgh napier university,REINO UNIDO,4
951,edith cowan university,AUSTRÁLIA,4
952,universitetet i troms,NORUEGA,4
953,nagoya university,JAPÃO,4
954,lulea tekniska universitet,SUÉCIA,4
955,instituto universitario de pesquisa do rio de janeiro,BRASIL,4
956,pontificia universita lateranense,ITÁLIA,4
957,pontificia universita gregoriana,ITÁLIA,4
958,instituto de arte design e empresa,PORTUGAL,4
959,universidade federal rural do semi arido,BRASIL,4
960,florida agricultural and mechanical university,ESTADOS UNIDOS,4
961,universidade federal da grande dourados,BRASIL,4
962,princeton theological seminary,ESTADOS UNIDOS,4
963,universidade lusiada de lisboa,PORTUGAL,4
964,universidade lusiada de porto,PORTUGAL,4
965,universidade lusofona do porto,PORTUGAL,4
966,leeds beckett university leeds,REINO UNIDO,4
967,universidade estadual da paraiba,BRASIL,4
968,universidade estadual do oeste do parana,BRASIL,4
969,royal ontario museum,CANADÁ,4
970,rush university,ESTADOS UNIDOS,4
971,university of canterbury,NOVA ZELÂNDIA,4
972,university of chichester,REINO UNIDO,4
973,university of bedfordshire,REINO UNIDO,4
974,liverpool john moores university,REINO UNIDO,4
975,university of east london,REINO UNIDO,4
976,universita degli studi di brescia,ITÁLIA,4
977,oxford brookes university,REINO UNIDO,4
978,observatoire de la cote d azur,FRANÇA,4
979,universitat hildesheim,ALEMANHA,4
980,medizinische universitat innsbruck,ÁUSTRIA,4
981,physikalisch technische bundesanstalt berlin,ALEMANHA,4
982,centre wallon de recherches agronomiques,BÉLGICA,4
983,centro agronomico tropical de investigacion y ensenanza,COSTA RICA,4
984,universite paris sud faculte de pharmacie chatenay malabry,FRANÇA,4
985,royal melbourne institute of technology university,AUSTRÁLIA,4
986,pontificia universidad javeriana,COLÔMBIA,4
987,birmingham city university,REINO UNIDO,4
988,universidade do estado de mato grosso,BRASIL,4
989,universidade da madeira,PORTUGAL,4
990,universidade de coimbra faculdade de direito de coimbra,PORTUGAL,4
991,suomen ymparistokeskus,FINLÂNDIA,4
992,kyoto university,JAPÃO,4
993,keele university,REINO UNIDO,4
994,h lee moffitt cancer center research institute,ESTADOS UNIDOS,4
995,scuola internazionale superiore di studi avanzati,ITÁLIA,4
996,fundacao universidade federal do piaui,BRASIL,4
997,university of louisiana lafayette,ESTADOS UNIDOS,4
998,brunel university london,REINO UNIDO,4
999,swiss tropical and public health institute,SUÍÇA,4
1000,infectious disease research institute,ESTADOS UNIDOS,4
1001,universidad nacional de costa rica campus omar dengo heredia,COSTA RICA,4
1002,the pirbright institute,REINO UNIDO,4
1003,institut curie,FRANÇA,4
1004,swinburne university of technology,AUSTRÁLIA,4
1005,istituto di ricerche farmacologiche mario negri,ITÁLIA,4
1006,istituto di scienza e tecnologie dell informazione alessandro faedo,ITÁLIA,4
1007,tel aviv university,ISRAEL,4
1008,telefonaktiebolaget lm ericsson ue,SUÉCIA,4
1009,benemerita universidad autonoma de puebla,MÉXICO,4
1010,bentley university,ESTADOS UNIDOS,4
1011,istituto italiano di tecnologia,ITÁLIA,4
1012,universidad de magallanes,CHILE,4
1013,the catholic university of america,ESTADOS UNIDOS,4
1014,birkbeck university of london,REINO UNIDO,4
1015,polska akademia nauk,POLONIA,4
1016,hochschule fur angewandte wissenschaften hamburg,ALEMANHA,4
1017,universidad de camaguey ignacio agramonte loynaz,CUBA,4
1018,hgskolen i oslo og akershus,NORUEGA,4
1019,hiroshima university,JAPÃO,4
1020,ibm research yorktown heights,ESTADOS UNIDOS,4
1021,university of north texas health science center fort worth,ESTADOS UNIDOS,4
1022,university of newcastle,AUSTRÁLIA,4
1023,universidad autonoma metropolitana unidad azcapotzalco,MÉXICO,4
1024,agroscope,SUÍÇA,4
1025,the royal botanic gardens,AUSTRÁLIA,4
1026,the texas state university system,ESTADOS UNIDOS,4
1027,hochschule osnabruck,ALEMANHA,4
1028,auckland university of technology,NOVA ZELÂNDIA,4
1029,university of western sydney,AUSTRÁLIA,4
1030,university of tsukuba,JAPÃO,4
1031,univerza v ljubljani,ESLOVÊNIA,4
1032,univerzita palackeho v olomouci,REPÚBLICA TCHECA,4
1033,universita di macerata,ITÁLIA,4
1034,vysoka kola chemicko technologicka v praze,REPÚBLICA TCHECA,3
1035,the national hellenic research foundation,GRÉCIA,3
1036,the methodist hospital research institute,ESTADOS UNIDOS,3
1037,western michigan university,ESTADOS UNIDOS,3
1038,acreo ab electrum,SUÉCIA,3
1039,weizmann institute of science,ISRAEL,3
1040,zentrum fur literatur und kulturforschung berlin,ALEMANHA,3
1041,agence nationale de securite sanitaire de l alimentation de l environnement et du travail,FRANÇA,3
1042,university of new orleans,ESTADOS UNIDOS,3
1043,universidad autonoma de nuevo leon,MÉXICO,3
1044,hogskolan i halmstad,SUÉCIA,3
1045,the george institute for global health,AUSTRÁLIA,3
1046,ti food and nutrition,HOLANDA,3
1047,istituti fisioterapici ospitalieri istituto nazionale tumori regina elena ue,ITÁLIA,3
1048,baylor university,ESTADOS UNIDOS,3
1049,bard college,ESTADOS UNIDOS,3
1050,university of plymouth,REINO UNIDO,3
1051,university of north florida,ESTADOS UNIDOS,3
1052,istituto di studi ecumenici san bernardino,ITÁLIA,3
1053,universite de bordeaux pessac,FRANÇA,3
1054,universitatsklinikum freiburg,ALEMANHA,3
1055,instituto nacional de saude dr ricardo jorge,PORTUGAL,3
1056,instituto nacional de tecnologia agropecuaria,ARGENTINA,3
1057,consejo superior de investigaciones cientificas instituto de biologia molecular y celular de plantas valencia,ESPANHA,3
1058,coastal carolina university,ESTADOS UNIDOS,3
1059,virginia institute of marine science,ESTADOS UNIDOS,3
1060,universidad autonoma de queretaro,MÉXICO,3
1061,woods hole oceanographic institution,ESTADOS UNIDOS,3
1062,wright state university,ESTADOS UNIDOS,3
1063,universidad autonoma del estado de hidalgo,MÉXICO,3
1064,universidad austral de chile,CHILE,3
1065,universidad de la rioja,ESPANHA,3
1066,universidad de matanzas camilo cienfuegos,CUBA,3
1067,istituto nazionale di fisica nucleare amministrazione centrale,ITÁLIA,3
1068,howard university,ESTADOS UNIDOS,3
1069,ibero amerikanische institut preuischer kulturbesitz,ALEMANHA,3
1070,universidad del norte,COLÔMBIA,3
1071,universidad de concepcion,CHILE,3
1072,universidad miguel hernandez de elche,ESPANHA,3
1073,universidad nacional de asuncion,PARAGUAI,3
1074,universidad de pinar del rio hermanos saiz montes de oca,CUBA,3
1075,universidad mayor de san andres,BOLÍVIA,3
1076,swiss federal research institute wsl birmensdorf,SUÍÇA,3
1077,institut de ciencies fotoniques,ESPANHA,3
1078,kreftregisteret ue,NORUEGA,3
1079,technische hochschule koln,ALEMANHA,3
1080,boise state university,ESTADOS UNIDOS,3
1081,bowling green state university,ESTADOS UNIDOS,3
1082,brandeis university,ESTADOS UNIDOS,3
1083,university of nebraska medical center omaha,ESTADOS UNIDOS,3
1084,universite de namur,BÉLGICA,3
1085,centrum voor studie en documentatie van latijns amerika,HOLANDA,3
1086,universite vincennes saint denis paris 8,FRANÇA,3
1087,new mexico state university,ESTADOS UNIDOS,3
1088,nihon university,JAPÃO,3
1089,universite de la reunion,FRANÇA,3
1090,national institutes of health national cancer institute,ESTADOS UNIDOS,3
1091,national museum of nature and science,JAPÃO,3
1092,universite de valenciennes et du hainaut cambresis,FRANÇA,3
1093,universite de bretagne sud,FRANÇA,3
1094,national center for genetic resources preservation,ESTADOS UNIDOS,3
1095,naturhistoriska riksmuseet,SUÉCIA,3
1096,university of michigan dearborn,ESTADOS UNIDOS,3
1097,kyushu institute of technology,JAPÃO,3
1098,kingston university,REINO UNIDO,3
1099,california polytechnic state university san luis obispo,ESTADOS UNIDOS,3
1100,south dakota state university,ESTADOS UNIDOS,3
1101,bryant university,ESTADOS UNIDOS,3
1102,laurentian university,CANADÁ,3
1103,university of lethbridge,CANADÁ,3
1104,fondazione bruno kessler,ITÁLIA,3
1105,sanofi en france ue,FRANÇA,3
1106,garvan institute,AUSTRÁLIA,3
1107,scuola universitaria professionale della svizzera italiana,SUÍÇA,3
1108,discourse unit,REINO UNIDO,3
1109,paul scherrer institut,SUÍÇA,3
1110,pennington biomedical research center,ESTADOS UNIDOS,3
1111,ottawa hospital research institute,CANADÁ,3
1112,otto friedrich universitat bamberg,ALEMANHA,3
1113,oulun yliopisto,FINLÂNDIA,3
1114,universita degli studi della basilicata,ITÁLIA,3
1115,plymouth marine laboratory,REINO UNIDO,3
1116,handelshogskolan i stockholm,SUÉCIA,3
1117,harper adams university college,REINO UNIDO,3
1118,fundacao univ federal de ciencias da saude de porto alegre,BRASIL,3
1119,fordham university,ESTADOS UNIDOS,3
1120,universidad nacional mayor de san marcos,PERU,3
1121,hafencity universitat hamburg,ALEMANHA,3
1122,universidad pontificia de salamanca,ESPANHA,3
1123,fundacao universidade de passo fundo,BRASIL,3
1124,university of hull,REINO UNIDO,3
1125,university of idaho,ESTADOS UNIDOS,3
1126,rutgers the state university of new jersey,ESTADOS UNIDOS,3
1127,leeds metropolitan university,REINO UNIDO,3
1128,university of central lancashire,REINO UNIDO,3
1129,university of baltimore,ESTADOS UNIDOS,3
1130,institut superieur de gestion,FRANÇA,3
1131,universidade de lisboa faculdade de arquitetura,PORTUGAL,3
1132,state university of new york buffalo,ESTADOS UNIDOS,3
1133,university of florida range cattle research and education center ona,ESTADOS UNIDOS,3
1134,institut national d histoire de l art,FRANÇA,3
1135,institut national de recherche en informatique et automatiqu,FRANÇA,3
1136,institut protestant de theologie paris,FRANÇA,3
1137,royal military college of canada,CANADÁ,3
1138,russian academy of sciences,RÚSSIA,3
1139,universidade tiradentes,BRASIL,3
1140,universita commerciale luigi bocconi,ITÁLIA,3
1141,universidade federal de sao joao del rei,BRASIL,3
1142,ecole nationale veterinaire agroalimentaire et de l alimentation nantes atlantique,FRANÇA,3
1143,ecole nationale veterinaire d alfort,FRANÇA,3
1144,ecole normale superieure paris saclay,FRANÇA,3
1145,pontificia universidade catolica de campinas,BRASIL,3
1146,medizinische universitat graz,ÁUSTRIA,3
1147,ecole nationale veterinaire agroalimentaire et de l aliment,FRANÇA,3
1148,universidade metodista de piracicaba,BRASIL,3
1149,universidade nilton lins,BRASIL,3
1150,centre tecnologic de telecomunicacions de catalunya,ESPANHA,3
1151,universita degli studi di teramo,ITÁLIA,3
1152,ecole superieure d ingenieurs en electronique et electrotechnique amiens,FRANÇA,3
1153,orebro universitet,SUÉCIA,3
1154,universitat zu lubeck,ALEMANHA,3
1155,universitat zurich vetsuisse fakultat,SUÍÇA,3
1156,universidade do porto faculdade de psicologia e de ciencias da educacao,PORTUGAL,3
1157,faculdade de psicologia e de ciencias da educacao ue,PORTUGAL,3
1158,instituto portugues do mar e da atmosfera ue,PORTUGAL,3
1159,faculdades pequeno principe,BRASIL,3
1160,integrated ocean drilling program,COSTA RICA,3
1161,eidgenossische anstalt fur wasserversorgung abwasserreinigung und gewasserschutz dubendorf,SUÍÇA,3
1162,universidade nove de julho,BRASIL,3
1163,centre de recherche sur le travail et le developpement,FRANÇA,3
1164,centre for addiction and mental health,CANADÁ,3
1165,universita degli studi di catania,ITÁLIA,3
1166,international centre for genetic engineering and biotechnology,ITÁLIA,3
1167,medical college of wisconsin,ESTADOS UNIDOS,3
1168,medical university of south carolina,ESTADOS UNIDOS,3
1169,instituto de telecomunicacoes,PORTUGAL,3
1170,instituto espanol de oceanografia,ESPANHA,3
