,nome_ies_destino_norm,pais_ies_destino,frequencia
141,pontificia universidade catolica do rio de janeiro,BRASIL,57
142,university of pittsburgh,ESTADOS UNIDOS,57
143,universitat pompeu fabra,ESPANHA,57
144,universite de poitiers,FRANÇA,57
145,universiteit van amsterdam,HOLANDA,56
146,louisiana state university system,ESTADOS UNIDOS,56
147,universidad de castilla la mancha,ESPANHA,55
148,humboldt universitat zu berlin,ALEMANHA,55
149,universita degli studi di milano milano,ITÁLIA,55
150,colorado state university system,ESTADOS UNIDOS,55
151,centre de cooperation internationale en recherche agronomique pour le developpement,FRANÇA,55
152,universidade federal da bahia,BRASIL,55
153,universiteit leiden,HOLANDA,55
154,universidade do algarve,PORTUGAL,54
155,universidade federal do rio grande do norte,BRASIL,54
156,universidad de murcia,ESPANHA,54
157,university of north carolina,ESTADOS UNIDOS,54
158,universidade de tras os montes e alto douro,PORTUGAL,54
159,the university of edinburgh,REINO UNIDO,54
160,universidad de cordoba,ESPANHA,53
161,universiteit gent,BÉLGICA,53
162,universite nice sophia antipolis,FRANÇA,53
163,national institutes of health,ESTADOS UNIDOS,52
164,technische universiteit delft,HOLANDA,51
165,universidade aberta,PORTUGAL,51
166,universidade federal rural de pernambuco,BRASIL,51
167,iowa state university,ESTADOS UNIDOS,51
168,universitat bremen,ALEMANHA,50
169,universite rennes ii,FRANÇA,50
170,universite lumiere lyon 2,FRANÇA,50
171,university of southampton,REINO UNIDO,50
172,princeton university,ESTADOS UNIDOS,50
173,university of calgary,CANADÁ,50
174,university of colorado system administration,ESTADOS UNIDOS,50
175,universite de versailles saint quentin en yvelines,FRANÇA,49
176,erasmus universiteit rotterdam,HOLANDA,49
177,universite catholique de louvain,BÉLGICA,49
178,pennsylvania state university,ESTADOS UNIDOS,49
179,albert ludwigs universitat freiburg,ALEMANHA,48
180,universidad de cadiz,ESPANHA,48
181,university of kentucky,ESTADOS UNIDOS,48
182,university of bristol,REINO UNIDO,48
183,politecnico di milano,ITÁLIA,48
184,karlsruher institut fur technologie,ALEMANHA,48
185,university of washington,ESTADOS UNIDOS,47
186,universite de lorraine,FRANÇA,47
187,universidad politecnica de madrid,ESPANHA,47
188,universidade da coruna,ESPANHA,47
189,western university,CANADÁ,47
190,universite de rennes i,FRANÇA,47
191,universidad de alcala,ESPANHA,46
192,york university,CANADÁ,46
193,university of arizona,ESTADOS UNIDOS,46
194,universidade de cabo verde,CABO VERDE,46
195,universite toulouse iii paul sabatier,FRANÇA,46
196,conservatoire national des arts et metiers,FRANÇA,46
197,university of tennessee system,ESTADOS UNIDOS,45
198,kansas state university,ESTADOS UNIDOS,45
199,oregon state university,ESTADOS UNIDOS,45
200,radboud universiteit nijmegen,HOLANDA,45
201,university of waterloo,CANADÁ,45
202,westfalische wilhelms universitat munster,ALEMANHA,44
203,universite paris est creteil val de marne paris xii,FRANÇA,44
204,ecole normale superieure paris,FRANÇA,44
205,uppsala universitet,SUÉCIA,44
206,universita degli studi di torino,ITÁLIA,43
207,university of chicago,ESTADOS UNIDOS,43
208,university of miami,ESTADOS UNIDOS,43
209,university of iowa,ESTADOS UNIDOS,43
210,the university of melbourne,AUSTRÁLIA,43
211,johns hopkins university,ESTADOS UNIDOS,43
212,universidade federal do ceara,BRASIL,43
213,museum national d histoire naturelle,FRANÇA,42
214,universite toulouse ii jean jaures,FRANÇA,42
215,universite de montpellier,FRANÇA,42
216,the university of sheffield,REINO UNIDO,42
217,case western reserve university,ESTADOS UNIDOS,42
218,universidade federal de santa maria,BRASIL,42
219,universitat bonn,ALEMANHA,42
220,university of glasgow,REINO UNIDO,41
221,the university of western australia,AUSTRÁLIA,41
222,universite lille 1 sciences et technologies,FRANÇA,41
223,technische universitat dresden,ALEMANHA,41
224,universite de liege,BÉLGICA,41
225,virginia tech,ESTADOS UNIDOS,41
226,university of connecticut,ESTADOS UNIDOS,41
227,eberhard karls universitat tubingen,ALEMANHA,41
228,university of new south wales,AUSTRÁLIA,41
229,consejo nacional de ciencia y tecnologia,MÉXICO,40
230,university of manitoba,CANADÁ,40
231,universidad de navarra,ESPANHA,40
232,universita degli studi di perugia,ITÁLIA,39
233,universidade federal rural do rio de janeiro,BRASIL,39
234,universiteit utrecht,HOLANDA,39
235,technische universitat munchen,ALEMANHA,39
236,newcastle university,REINO UNIDO,39
237,universitat hamburg,ALEMANHA,38
238,universite de nantes,FRANÇA,38
239,danmarks tekniske universitet,DINAMARCA,38
240,university of liverpool,REINO UNIDO,38
241,university of surrey,REINO UNIDO,38
242,university of kent,REINO UNIDO,38
243,universita di pisa,ITÁLIA,37
244,georg august universitat gottingen,ALEMANHA,37
245,rijksuniversiteit groningen,HOLANDA,37
246,university of york,REINO UNIDO,37
247,lunds universitet,SUÉCIA,36
248,instituto tecnologico de aeronautica,BRASIL,36
249,tulane university,ESTADOS UNIDOS,36
250,boston university,ESTADOS UNIDOS,36
251,ecole des hautes etudes commerciales de montreal,CANADÁ,36
252,universitat leipzig,ALEMANHA,35
253,griffith university,AUSTRÁLIA,35
254,northwestern university,ESTADOS UNIDOS,35
255,agriculture and agri food canada,CANADÁ,35
256,concordia university,CANADÁ,35
257,university of arkansas fayetteville,ESTADOS UNIDOS,35
258,university of reading,REINO UNIDO,35
259,universite de bourgogne,FRANÇA,34
260,universita degli studi di genova,ITÁLIA,34
261,johns hopkins health system,ESTADOS UNIDOS,34
